id,time,action,app,SFC,n_VNFs,TTL,SFC_structure
1,0,create,SimpleApp,1,15,198,"{""vnf"": [{""id"": 0, ""SFC"": 1, ""RAM"": 1}, {""id"": 1, ""SFC"": 1, ""RAM"": 1}, {""id"": 2, ""SFC"": 1, ""RAM"": 1}, {""id"": 3, ""SFC"": 1, ""RAM"": 1}, {""id"": 4, ""SFC"": 1, ""RAM"": 1}, {""id"": 5, ""SFC"": 1, ""RAM"": 1}, {""id"": 6, ""SFC"": 1, ""RAM"": 1}, {""id"": 7, ""SFC"": 1, ""RAM"": 1}, {""id"": 8, ""SFC"": 1, ""RAM"": 1}, {""id"": 9, ""SFC"": 1, ""RAM"": 1}, {""id"": 10, ""SFC"": 1, ""RAM"": 1}, {""id"": 11, ""SFC"": 1, ""RAM"": 1}, {""id"": 12, ""SFC"": 1, ""RAM"": 1}, {""id"": 13, ""SFC"": 1, ""RAM"": 1}, {""id"": 14, ""SFC"": 1, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 46}, {""s"": 1, ""d"": 2, ""bw"": 29}, {""s"": 2, ""d"": 3, ""bw"": 82}, {""s"": 3, ""d"": 4, ""bw"": 57}, {""s"": 4, ""d"": 5, ""bw"": 38}, {""s"": 5, ""d"": 6, ""bw"": 19}, {""s"": 6, ""d"": 7, ""bw"": 35}, {""s"": 7, ""d"": 8, ""bw"": 55}, {""s"": 8, ""d"": 9, ""bw"": 56}, {""s"": 9, ""d"": 10, ""bw"": 52}, {""s"": 10, ""d"": 11, ""bw"": 68}, {""s"": 11, ""d"": 12, ""bw"": 30}, {""s"": 12, ""d"": 13, ""bw"": 74}, {""s"": 13, ""d"": 14, ""bw"": 47}]}"
2,0,accept,-,1,-,-,-
3,0,deployed,-,1,-,-,"{""node"": [{""id"": 1, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 2, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 3, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 4, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 5, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 6, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 7, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 8, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 9, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 10, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 11, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 12, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 13, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 14, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 15, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 16, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 17, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 18, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 19, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 20, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 21, ""model"": ""server"", ""deployed"": [[1, 7]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 22, ""model"": ""server"", ""deployed"": [[1, 11]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 23, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 24, ""model"": ""server"", ""deployed"": [[1, 5]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 25, ""model"": ""server"", ""deployed"": [[1, 6], [1, 12]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 26, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 27, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 28, ""model"": ""server"", ""deployed"": [[1, 1], [1, 3]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 29, ""model"": ""server"", ""deployed"": [[1, 0]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 30, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 31, ""model"": ""server"", ""deployed"": [[1, 4]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 32, ""model"": ""server"", ""deployed"": [[1, 8]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 33, ""model"": ""server"", ""deployed"": [[1, 9]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 34, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 35, ""model"": ""server"", ""deployed"": [[1, 10], [1, 14]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 36, ""model"": ""server"", ""deployed"": [[1, 2], [1, 13]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}], ""link"": [{""s"": 1, ""d"": 5, ""bw"": 1000, ""usage"": 245}, {""s"": 1, ""d"": 7, ""bw"": 1000, ""usage"": 372}, {""s"": 1, ""d"": 9, ""bw"": 1000, ""usage"": 252}, {""s"": 1, ""d"": 11, ""bw"": 1000, ""usage"": 309}, {""s"": 2, ""d"": 5, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 7, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 9, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 11, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 6, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 8, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 10, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 12, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 6, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 8, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 10, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 12, ""bw"": 1000, ""usage"": 0}, {""s"": 5, ""d"": 13, ""bw"": 1000, ""usage"": 188}, {""s"": 5, ""d"": 14, ""bw"": 1000, ""usage"": 57}, {""s"": 6, ""d"": 13, ""bw"": 1000, ""usage"": 0}, {""s"": 6, ""d"": 14, ""bw"": 1000, ""usage"": 0}, {""s"": 7, ""d"": 15, ""bw"": 1000, ""usage"": 158}, {""s"": 7, ""d"": 16, ""bw"": 1000, ""usage"": 214}, {""s"": 8, ""d"": 15, ""bw"": 1000, ""usage"": 0}, {""s"": 8, ""d"": 16, ""bw"": 1000, ""usage"": 0}, {""s"": 9, ""d"": 17, ""bw"": 1000, ""usage"": 46}, {""s"": 9, ""d"": 18, ""bw"": 1000, ""usage"": 206}, {""s"": 10, ""d"": 17, ""bw"": 1000, ""usage"": 0}, {""s"": 10, ""d"": 18, ""bw"": 1000, ""usage"": 0}, {""s"": 11, ""d"": 19, ""bw"": 1000, ""usage"": 108}, {""s"": 11, ""d"": 20, ""bw"": 1000, ""usage"": 305}, {""s"": 12, ""d"": 19, ""bw"": 1000, ""usage"": 0}, {""s"": 12, ""d"": 20, ""bw"": 1000, ""usage"": 0}, {""s"": 13, ""d"": 21, ""bw"": 1000, ""usage"": 90}, {""s"": 13, ""d"": 22, ""bw"": 1000, ""usage"": 98}, {""s"": 14, ""d"": 23, ""bw"": 1000, ""usage"": 0}, {""s"": 14, ""d"": 24, ""bw"": 1000, ""usage"": 57}, {""s"": 15, ""d"": 25, ""bw"": 1000, ""usage"": 158}, {""s"": 15, ""d"": 26, ""bw"": 1000, ""usage"": 0}, {""s"": 16, ""d"": 27, ""bw"": 1000, ""usage"": 0}, {""s"": 16, ""d"": 28, ""bw"": 1000, ""usage"": 214}, {""s"": 17, ""d"": 29, ""bw"": 1000, ""usage"": 46}, {""s"": 17, ""d"": 30, ""bw"": 1000, ""usage"": 0}, {""s"": 18, ""d"": 31, ""bw"": 1000, ""usage"": 95}, {""s"": 18, ""d"": 32, ""bw"": 1000, ""usage"": 111}, {""s"": 19, ""d"": 33, ""bw"": 1000, ""usage"": 108}, {""s"": 19, ""d"": 34, ""bw"": 1000, ""usage"": 0}, {""s"": 20, ""d"": 35, ""bw"": 1000, ""usage"": 167}, {""s"": 20, ""d"": 36, ""bw"": 1000, ""usage"": 232}]}"
4,7,create,SimpleApp,2,10,105,"{""vnf"": [{""id"": 0, ""SFC"": 2, ""RAM"": 1}, {""id"": 1, ""SFC"": 2, ""RAM"": 1}, {""id"": 2, ""SFC"": 2, ""RAM"": 1}, {""id"": 3, ""SFC"": 2, ""RAM"": 1}, {""id"": 4, ""SFC"": 2, ""RAM"": 1}, {""id"": 5, ""SFC"": 2, ""RAM"": 1}, {""id"": 6, ""SFC"": 2, ""RAM"": 1}, {""id"": 7, ""SFC"": 2, ""RAM"": 1}, {""id"": 8, ""SFC"": 2, ""RAM"": 1}, {""id"": 9, ""SFC"": 2, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 47}, {""s"": 1, ""d"": 2, ""bw"": 82}, {""s"": 2, ""d"": 3, ""bw"": 76}, {""s"": 3, ""d"": 4, ""bw"": 75}, {""s"": 4, ""d"": 5, ""bw"": 87}, {""s"": 5, ""d"": 6, ""bw"": 89}, {""s"": 6, ""d"": 7, ""bw"": 63}, {""s"": 7, ""d"": 8, ""bw"": 62}, {""s"": 8, ""d"": 9, ""bw"": 20}]}"
5,7,accept,-,2,-,-,-
6,7,deployed,-,2,-,-,"{""node"": [{""id"": 1, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 2, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 3, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 4, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 5, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 6, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 7, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 8, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 9, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 10, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 11, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 12, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 13, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 14, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 15, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 16, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 17, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 18, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 19, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 20, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 21, ""model"": ""server"", ""deployed"": [[1, 7], [2, 3], [2, 5]], ""RAM"": 1, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 22, ""model"": ""server"", ""deployed"": [[1, 11]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 23, ""model"": ""server"", ""deployed"": [[2, 2], [2, 6]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 24, ""model"": ""server"", ""deployed"": [[1, 5], [2, 8]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 25, ""model"": ""server"", ""deployed"": [[1, 6], [1, 12], [2, 1]], ""RAM"": 1, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 26, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 27, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 28, ""model"": ""server"", ""deployed"": [[1, 1], [1, 3]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 29, ""model"": ""server"", ""deployed"": [[1, 0]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 30, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 31, ""model"": ""server"", ""deployed"": [[1, 4], [2, 9]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 32, ""model"": ""server"", ""deployed"": [[1, 8], [2, 0]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 33, ""model"": ""server"", ""deployed"": [[1, 9], [2, 7]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 34, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 35, ""model"": ""server"", ""deployed"": [[1, 10], [1, 14]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 36, ""model"": ""server"", ""deployed"": [[1, 2], [1, 13], [2, 4]], ""RAM"": 1, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}], ""link"": [{""s"": 1, ""d"": 5, ""bw"": 1000, ""usage"": 634}, {""s"": 1, ""d"": 7, ""bw"": 1000, ""usage"": 501}, {""s"": 1, ""d"": 9, ""bw"": 1000, ""usage"": 319}, {""s"": 1, ""d"": 11, ""bw"": 1000, ""usage"": 596}, {""s"": 2, ""d"": 5, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 7, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 9, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 11, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 6, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 8, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 10, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 12, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 6, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 8, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 10, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 12, ""bw"": 1000, ""usage"": 0}, {""s"": 5, ""d"": 13, ""bw"": 1000, ""usage"": 515}, {""s"": 5, ""d"": 14, ""bw"": 1000, ""usage"": 449}, {""s"": 6, ""d"": 13, ""bw"": 1000, ""usage"": 0}, {""s"": 6, ""d"": 14, ""bw"": 1000, ""usage"": 0}, {""s"": 7, ""d"": 15, ""bw"": 1000, ""usage"": 287}, {""s"": 7, ""d"": 16, ""bw"": 1000, ""usage"": 214}, {""s"": 8, ""d"": 15, ""bw"": 1000, ""usage"": 0}, {""s"": 8, ""d"": 16, ""bw"": 1000, ""usage"": 0}, {""s"": 9, ""d"": 17, ""bw"": 1000, ""usage"": 46}, {""s"": 9, ""d"": 18, ""bw"": 1000, ""usage"": 273}, {""s"": 10, ""d"": 17, ""bw"": 1000, ""usage"": 0}, {""s"": 10, ""d"": 18, ""bw"": 1000, ""usage"": 0}, {""s"": 11, ""d"": 19, ""bw"": 1000, ""usage"": 233}, {""s"": 11, ""d"": 20, ""bw"": 1000, ""usage"": 467}, {""s"": 12, ""d"": 19, ""bw"": 1000, ""usage"": 0}, {""s"": 12, ""d"": 20, ""bw"": 1000, ""usage"": 0}, {""s"": 13, ""d"": 21, ""bw"": 1000, ""usage"": 417}, {""s"": 13, ""d"": 22, ""bw"": 1000, ""usage"": 98}, {""s"": 14, ""d"": 23, ""bw"": 1000, ""usage"": 310}, {""s"": 14, ""d"": 24, ""bw"": 1000, ""usage"": 139}, {""s"": 15, ""d"": 25, ""bw"": 1000, ""usage"": 287}, {""s"": 15, ""d"": 26, ""bw"": 1000, ""usage"": 0}, {""s"": 16, ""d"": 27, ""bw"": 1000, ""usage"": 0}, {""s"": 16, ""d"": 28, ""bw"": 1000, ""usage"": 214}, {""s"": 17, ""d"": 29, ""bw"": 1000, ""usage"": 46}, {""s"": 17, ""d"": 30, ""bw"": 1000, ""usage"": 0}, {""s"": 18, ""d"": 31, ""bw"": 1000, ""usage"": 115}, {""s"": 18, ""d"": 32, ""bw"": 1000, ""usage"": 158}, {""s"": 19, ""d"": 33, ""bw"": 1000, ""usage"": 233}, {""s"": 19, ""d"": 34, ""bw"": 1000, ""usage"": 0}, {""s"": 20, ""d"": 35, ""bw"": 1000, ""usage"": 167}, {""s"": 20, ""d"": 36, ""bw"": 1000, ""usage"": 394}]}"
7,34,create,SimpleApp,3,19,41,"{""vnf"": [{""id"": 0, ""SFC"": 3, ""RAM"": 1}, {""id"": 1, ""SFC"": 3, ""RAM"": 1}, {""id"": 2, ""SFC"": 3, ""RAM"": 1}, {""id"": 3, ""SFC"": 3, ""RAM"": 1}, {""id"": 4, ""SFC"": 3, ""RAM"": 1}, {""id"": 5, ""SFC"": 3, ""RAM"": 1}, {""id"": 6, ""SFC"": 3, ""RAM"": 1}, {""id"": 7, ""SFC"": 3, ""RAM"": 1}, {""id"": 8, ""SFC"": 3, ""RAM"": 1}, {""id"": 9, ""SFC"": 3, ""RAM"": 1}, {""id"": 10, ""SFC"": 3, ""RAM"": 1}, {""id"": 11, ""SFC"": 3, ""RAM"": 1}, {""id"": 12, ""SFC"": 3, ""RAM"": 1}, {""id"": 13, ""SFC"": 3, ""RAM"": 1}, {""id"": 14, ""SFC"": 3, ""RAM"": 1}, {""id"": 15, ""SFC"": 3, ""RAM"": 1}, {""id"": 16, ""SFC"": 3, ""RAM"": 1}, {""id"": 17, ""SFC"": 3, ""RAM"": 1}, {""id"": 18, ""SFC"": 3, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 40}, {""s"": 1, ""d"": 2, ""bw"": 35}, {""s"": 2, ""d"": 3, ""bw"": 51}, {""s"": 3, ""d"": 4, ""bw"": 42}, {""s"": 4, ""d"": 5, ""bw"": 83}, {""s"": 5, ""d"": 6, ""bw"": 72}, {""s"": 6, ""d"": 7, ""bw"": 30}, {""s"": 7, ""d"": 8, ""bw"": 44}, {""s"": 8, ""d"": 9, ""bw"": 32}, {""s"": 9, ""d"": 10, ""bw"": 64}, {""s"": 10, ""d"": 11, ""bw"": 45}, {""s"": 11, ""d"": 12, ""bw"": 51}, {""s"": 12, ""d"": 13, ""bw"": 51}, {""s"": 13, ""d"": 14, ""bw"": 35}, {""s"": 14, ""d"": 15, ""bw"": 66}, {""s"": 15, ""d"": 16, ""bw"": 90}, {""s"": 16, ""d"": 17, ""bw"": 83}, {""s"": 17, ""d"": 18, ""bw"": 80}]}"
8,34,drop,-,3,-,-,-
9,62,create,SimpleApp,4,11,428,"{""vnf"": [{""id"": 0, ""SFC"": 4, ""RAM"": 1}, {""id"": 1, ""SFC"": 4, ""RAM"": 1}, {""id"": 2, ""SFC"": 4, ""RAM"": 1}, {""id"": 3, ""SFC"": 4, ""RAM"": 1}, {""id"": 4, ""SFC"": 4, ""RAM"": 1}, {""id"": 5, ""SFC"": 4, ""RAM"": 1}, {""id"": 6, ""SFC"": 4, ""RAM"": 1}, {""id"": 7, ""SFC"": 4, ""RAM"": 1}, {""id"": 8, ""SFC"": 4, ""RAM"": 1}, {""id"": 9, ""SFC"": 4, ""RAM"": 1}, {""id"": 10, ""SFC"": 4, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 55}, {""s"": 1, ""d"": 2, ""bw"": 83}, {""s"": 2, ""d"": 3, ""bw"": 67}, {""s"": 3, ""d"": 4, ""bw"": 66}, {""s"": 4, ""d"": 5, ""bw"": 67}, {""s"": 5, ""d"": 6, ""bw"": 44}, {""s"": 6, ""d"": 7, ""bw"": 12}, {""s"": 7, ""d"": 8, ""bw"": 31}, {""s"": 8, ""d"": 9, ""bw"": 45}, {""s"": 9, ""d"": 10, ""bw"": 20}]}"
10,62,drop,-,4,-,-,-
